0.000000	-0.50
0.000150	 2.50
0.000150	 2.50
0.000150	-0.50
0.004000	-0.50
0.004150	 2.50
0.004150	 2.50
0.004150	-0.50
0.010000	-0.50
0.010150	 2.50
0.010150	 2.50
0.010150	-0.50
0.018000	-0.50
0.018150	 2.50
0.018150	 2.50
0.018150	-0.50
0.020000	-0.50
0.020150	 2.50
0.020150	 2.50
0.020150	-0.50
0.023000	-0.50
0.023150	 2.50
0.023150	 2.50
0.023150	-0.50
0.026000	-0.50
0.026150	 2.50
0.026150	 2.50
0.026150	-0.50
0.029000	-0.50
0.029150	 2.50
0.029150	 2.50
0.029150	-0.50
0.032000	-0.50
0.032150	 2.50
0.032150	 2.50
0.032150	-0.50
0.034000	-0.50
0.034150	 2.50
0.034150	 2.50
0.034150	-0.50
0.036000	-0.50
0.036150	 2.50
0.036150	 2.50
0.036150	-0.50
0.040000	-0.50
0.040150	 2.50
0.040150	 2.50
0.040150	-0.50
0.043000	-0.50
0.043150	 2.50
0.043150	 2.50
0.043150	-0.50
0.046000	-0.50
0.046150	 2.50
0.046150	 2.50
0.046150	-0.50
0.050000	-0.50
0.050150	 2.50
0.050150	 2.50
0.050150	-0.50
0.053000	-0.50
0.053150	 2.50
0.053150	 2.50
0.053150	-0.50
0.061000	-0.50
0.061150	 2.50
0.061150	 2.50
0.061150	-0.50
0.070000	-0.50
0.070150	 2.50
0.070150	 2.50
0.070150	-0.50
0.073000	-0.50
0.073150	 2.50
0.073150	 2.50
0.073150	-0.50
0.077000	-0.50
0.077150	 2.50
0.077150	 2.50
0.077150	-0.50
0.080000	-0.50
0.080150	 2.50
0.080150	 2.50
0.080150	-0.50
0.088000	-0.50
0.088150	 2.50
0.088150	 2.50
0.088150	-0.50
0.091000	-0.50
0.091150	 2.50
0.091150	 2.50
0.091150	-0.50
0.093000	-0.50
0.093150	 2.50
0.093150	 2.50
0.093150	-0.50
0.098000	-0.50
0.098150	 2.50
0.098150	 2.50
0.098150	-0.50
0.106000	-0.50
0.106150	 2.50
0.106150	 2.50
0.106150	-0.50
0.108000	-0.50
0.108150	 2.50
0.108150	 2.50
0.108150	-0.50
